X	Y	Theta
1636.00	1537.29	227.00
1661.74	1513.71	228.00
1687.88	1490.58	229.00
1714.42	1467.91	230.00
1741.36	1445.71	231.00
1768.68	1423.98	232.00
1796.37	1402.73	233.00
1824.43	1381.97	234.00
1852.85	1361.70	235.00
1881.61	1341.92	236.00
1910.72	1322.66	237.00
1940.16	1303.90	238.00
1969.92	1285.67	239.00
2000.00	1267.95	240.00
2030.38	1250.76	241.00
2061.06	1234.10	242.00
2092.02	1217.99	243.00
2123.26	1202.41	244.00
2154.76	1187.38	245.00
2186.53	1172.91	246.00
2218.54	1158.99	247.00
2250.79	1145.63	248.00
2283.26	1132.84	249.00
2315.96	1120.61	250.00
2348.86	1108.96	251.00
2381.97	1097.89	252.00
2415.26	1087.39	253.00
2448.73	1077.48	254.00
2482.36	1068.15	255.00
2516.16	1059.41	256.00
2550.10	1051.26	257.00
2584.18	1043.70	258.00
2618.38	1036.75	259.00
2652.70	1030.38	260.00
2687.13	1024.62	261.00
2721.65	1019.46	262.00
2756.26	1014.91	263.00
2790.94	1010.96	264.00
2825.69	1007.61	265.00
2860.49	1004.87	266.00
2895.33	1002.74	267.00
2930.20	1001.22	268.00
2965.10	1000.30	269.00
3000.00	1000.00	270.00
3034.90	1000.30	271.00
3069.80	1001.22	272.00
3104.67	1002.74	273.00
3139.51	1004.87	274.00
3174.31	1007.61	275.00
3209.06	1010.96	276.00
3243.74	1014.91	277.00
3278.35	1019.46	278.00
3312.87	1024.62	279.00
3347.30	1030.38	280.00
3381.62	1036.75	281.00
3415.82	1043.70	282.00
3449.90	1051.26	283.00
3483.84	1059.41	284.00
3517.64	1068.15	285.00
3551.27	1077.48	286.00
3584.74	1087.39	287.00
3618.03	1097.89	288.00
3651.14	1108.96	289.00
3684.04	1120.61	290.00
3716.74	1132.84	291.00
3749.21	1145.63	292.00
3781.46	1158.99	293.00
3813.47	1172.91	294.00
3845.24	1187.38	295.00
3876.74	1202.41	296.00
3907.98	1217.99	297.00
3938.94	1234.10	298.00
3969.62	1250.76	299.00
4000.00	1267.95	300.00
4030.08	1285.67	301.00
4059.84	1303.90	302.00
4089.28	1322.66	303.00
4118.39	1341.92	304.00
4147.15	1361.70	305.00
4175.57	1381.97	306.00
4203.63	1402.73	307.00
4231.32	1423.98	308.00
4258.64	1445.71	309.00
4285.58	1467.91	310.00
4312.12	1490.58	311.00
4338.26	1513.71	312.00
4364.00	1537.29	313.00
4389.32	1561.32	314.00
4414.21	1585.79	315.00
4438.68	1610.68	316.00
4462.71	1636.00	317.00
4486.29	1661.74	318.00
4509.42	1687.88	319.00
4532.09	1714.42	320.00
4554.29	1741.36	321.00
4576.02	1768.68	322.00
4597.27	1796.37	323.00
4618.03	1824.43	324.00
4638.30	1852.85	325.00
4658.08	1881.61	326.00
4677.34	1910.72	327.00
4696.10	1940.16	328.00
4714.33	1969.92	329.00
4732.05	2000.00	330.00
4749.24	2030.38	331.00
4765.90	2061.06	332.00
4782.01	2092.02	333.00
4797.59	2123.26	334.00
4812.62	2154.76	335.00
4827.09	2186.53	336.00
4841.01	2218.54	337.00
4854.37	2250.79	338.00
4867.16	2283.26	339.00
4879.39	2315.96	340.00
4891.04	2348.86	341.00
4902.11	2381.97	342.00
4912.61	2415.26	343.00
4922.52	2448.73	344.00
4931.85	2482.36	345.00
4940.59	2516.16	346.00
4948.74	2550.10	347.00
4956.30	2584.18	348.00
4963.25	2618.38	349.00
4969.62	2652.70	350.00
4975.38	2687.13	351.00
4980.54	2721.65	352.00
4985.09	2756.26	353.00
4989.04	2790.94	354.00
4992.39	2825.69	355.00
4995.13	2860.49	356.00
4997.26	2895.33	357.00
4998.78	2930.20	358.00
4999.70	2965.10	359.00
